"trip_key","weighted_count","unweighted_count","expansion_factor","difference"
"Bus_Metro",3549086,38029,93.3257776959689,3511057
"Metro",353168,3328,106.120192307692,349840
"Bus",263333,2879,91.4668287599861,260454
"Bus_Other",227066,2229,101.868999551368,224837
"Bus_Metro_Other",173027,1793,96.5013943112103,171234
"Metro_Other",156108,1663,93.8713168971738,154445
"BRT_Bus",97345,1052,92.5332699619772,96293
"BRT_Bus_Metro",47236,497,95.0422535211268,46739
"BRT_Metro",31793,348,91.3591954022989,31445
"Other",9650,106,91.0377358490566,9544
"BRT_Other",6065,66,91.8939393939394,5999
"BRT_Metro_Other",3211,30,107.033333333333,3181
"BRT_Bus_Other",3104,32,97,3072
"BRT_Bus_Metro_Other",1720,14,122.857142857143,1706
