"trip1","trip2","trip3","trip4","trip5","trip6","weighted_count"
"Bus","Metro",NA,NA,NA,NA,3549086
"Metro",NA,NA,NA,NA,NA,353168
"Bus",NA,NA,NA,NA,NA,263333
"Bus","Other",NA,NA,NA,NA,227066
"Bus","Metro","Other",NA,NA,NA,173027
"Metro","Other",NA,NA,NA,NA,156108
"BRT","Bus",NA,NA,NA,NA,97345
"BRT","Bus","Metro",NA,NA,NA,47236
"BRT","Metro",NA,NA,NA,NA,31793
"Other",NA,NA,NA,NA,NA,9650
"BRT","Other",NA,NA,NA,NA,6065
"BRT","Metro","Other",NA,NA,NA,3211
"BRT","Bus","Other",NA,NA,NA,3104
"BRT","Bus","Metro","Other",NA,NA,1720
