"SORDENTRAN","ENT"
"9000000","15"
"7000000","09"
"7100000","09"
"1000000","09"
"1000000","09"
"1000000","09"
"1000000","09"
"7000000","09"
"7000000","09"
"5100000","09"
"1500000","09"
"9000000","09"
"9000000","09"
"8000000","09"
"5000000","09"
"7700000","09"
"8000000","09"
"7000000","09"
"7000000","09"
"7000000","09"
"7000000","09"
"9000000","09"
"7000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"7700000","09"
"7700000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"7000000","09"
"7000000","09"
"9000000","09"
"7700000","09"
"7700000","09"
"7100000","09"
"1700000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"7100000","09"
"1700000","09"
"1700000","09"
"9000000","09"
"9000000","09"
"9100000","09"
"1900000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"7000000","09"
"7000000","09"
"7100000","09"
"1700000","09"
"7700000","09"
"7700000","09"
"7100000","09"
"1700000","09"
"9000000","09"
"8000000","09"
"7700000","09"
"9000000","09"
"7000000","09"
"5000000","09"
"7000000","09"
"9000000","09"
"7500000","09"
"7000000","09"
"5000000","09"
"9000000","09"
"7500000","09"
"7000000","09"
"7000000","09"
"9000000","09"
"7100000","09"
"9000000","09"
"7000000","09"
"7000000","09"
"1780000","09"
"7700000","09"
"8000000","09"
"7000000","09"
"8000000","09"
"7000000","09"
"7800000","09"
"7770000","09"
"7000000","09"
"7000000","09"
"1000000","09"
"7000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"8000000","09"
"9000000","09"
"9000000","09"
"8000000","09"
"1000000","09"
"9000000","09"
"1000000","09"
"9000000","09"
"9000000","09"
"7700000","09"
"9000000","09"
"7700000","09"
"9000000","09"
"7700000","09"
"7700000","09"
"9000000","09"
"7000000","09"
"8000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"5000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"1000000","09"
"7100000","09"
"7000000","09"
"1000000","09"
"8000000","09"
"9000000","09"
"9000000","09"
"8000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"8000000","09"
"9000000","09"
"9000000","09"
"8000000","09"
"8000000","09"
"9000000","09"
"7000000","09"
"7700000","09"
"7000000","09"
"9000000","09"
"9000000","09"
"8000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"1000000","09"
"9000000","09"
"7700000","09"
"9000000","09"
"7700000","09"
"9000000","09"
"1000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9100000","09"
"9000000","09"
"9000000","09"
"7000000","09"
"9000000","09"
"9000000","09"
"7000000","09"
"9000000","09"
"9100000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"8000000","09"
"9000000","09"
"9000000","09"
"1000000","09"
"8000000","09"
"9000000","09"
"7000000","09"
"9000000","09"
"9000000","09"
"8000000","09"
"1000000","09"
"8000000","09"
"9000000","09"
"1000000","09"
"7100000","09"
"1000000","09"
"1700000","09"
"7000000","09"
"7000000","09"
"7000000","09"
"7000000","09"
"9000000","09"
"7000000","09"
"9000000","09"
"7000000","09"
"9000000","09"
"1700000","09"
"9000000","09"
"5000000","09"
"9000000","09"
"7000000","09"
"7000000","09"
"9000000","09"
"7700000","09"
"7000000","09"
"7700000","09"
"7000000","09"
"9000000","09"
"7000000","09"
"9000000","09"
"7000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"7700000","09"
"7700000","09"
"7000000","09"
"7000000","09"
"1700000","09"
"1600000","09"
"7100000","09"
"7900000","09"
"1700000","09"
"9700000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"3000000","09"
"9000000","09"
"3700000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"7300000","09"
"9000000","09"
"9000000","09"
"3700000","09"
"8000000","09"
"7000000","09"
"7000000","09"
"9000000","09"
"8000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"1700000","09"
"9000000","09"
"9000000","09"
"7000000","09"
"7100000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"1000000","09"
"1000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"1000000","09"
"9000000","09"
"9000000","09"
"1000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"8000000","09"
"8000000","09"
"7000000","09"
"8000000","09"
"9000000","09"
"9000000","09"
"7000000","09"
"9000000","09"
"9000000","09"
"7000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"1700000","09"
"9000000","09"
"9000000","09"
"7100000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"C000000","09"
"9000000","09"
"9000000","09"
"8000000","09"
"9000000","09"
"9000000","09"
"8000000","09"
"9000000","09"
"7100000","09"
"3000000","09"
"3000000","09"
"3000000","09"
"1700000","09"
"3000000","09"
"9000000","09"
"B000000","09"
"9000000","09"
"B000000","09"
"B000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"9000000","09"
"1000000","09"
"9000000","09"
"1000000","09"
"9000000","09"
"6180000","09"
"9000000","09"
"9000000","09"
"7160000","09"
"9000000","09"
"5000000","09"
"9000000","09"
"9000000","09"
"5000000","09"
"9000000","09"
"1000000","09"
