"ID_VIV","FOLIO","VIV_SEL","DISTRITO","ENT","MUN","UPM","P1_1","P1_2","P1_3","ESTRATO","FACTOR","UPM_DIS","EST_DIS","TLOC"
1,"00101","01","001","09","015","0917747","01","1",NA,2,111,"00001","0010",1
2,"00101","02","001","09","015","0917747","04","1",NA,2,111,"00001","0010",1
3,"00101","03","001","09","015","0917747","02","1",NA,2,111,"00001","0010",1
4,"00101","04","001","09","015","0917747","07","1",NA,2,111,"00001","0010",1
5,"00101","05","001","09","015","0917747","05","1",NA,2,111,"00001","0010",1
6,"00102","01","001","09","015","0917753","04","1",NA,3,110,"00002","0020",1
7,"00102","03","001","09","015","0917753","02","1",NA,3,110,"00002","0020",1
8,"00102","04","001","09","015","0917753","02","1",NA,3,110,"00002","0020",1
9,"00102","05","001","09","015","0917753","04","1",NA,3,110,"00002","0020",1
10,"00103","02","001","09","015","0917778","02","1",NA,3,115,"00003","0020",1
11,"00103","03","001","09","015","0917778","01","1",NA,3,115,"00003","0020",1
12,"00103","05","001","09","015","0917778","01","1",NA,3,115,"00003","0020",1
13,"00104","01","001","09","015","0917780","02","1",NA,3,120,"00004","0020",1
14,"00104","02","001","09","015","0917780","02","1",NA,3,120,"00004","0020",1
15,"00104","03","001","09","015","0917780","02","1",NA,3,120,"00004","0020",1
16,"00104","04","001","09","015","0917780","02","1",NA,3,120,"00004","0020",1
17,"00104","05","001","09","015","0917780","02","1",NA,3,120,"00004","0020",1
18,"00105","01","001","09","015","0917780","04","1",NA,3,132,"00005","0020",1
19,"00105","02","001","09","015","0917780","03","1",NA,3,132,"00005","0020",1
20,"00105","04","001","09","015","0917780","04","2","02",3,132,"00005","0020",1
21,"00105","05","001","09","015","0917780","04","1",NA,3,132,"00005","0020",1
22,"00106","03","001","09","015","0917800","02","1",NA,2,95,"00006","0010",1
23,"00106","05","001","09","015","0917800","05","1",NA,2,95,"00006","0010",1
24,"00107","01","001","09","015","0917803","02","1",NA,2,104,"00007","0010",1
25,"00107","02","001","09","015","0917803","01","1",NA,2,104,"00007","0010",1
26,"00107","03","001","09","015","0917803","01","1",NA,2,104,"00007","0010",1
27,"00107","04","001","09","015","0917803","03","1",NA,2,104,"00007","0010",1
28,"00107","05","001","09","015","0917803","01","1",NA,2,104,"00007","0010",1
29,"00108","01","001","09","015","0917815","02","1",NA,2,47,"00008","0010",1
30,"00108","02","001","09","015","0917815","06","1",NA,2,47,"00008","0010",1
31,"00108","03","001","09","015","0917815","02","1",NA,2,47,"00008","0010",1
32,"00108","04","001","09","015","0917815","05","1",NA,2,47,"00008","0010",1
33,"00108","05","001","09","015","0917815","02","1",NA,2,47,"00008","0010",1
34,"00108","06","001","09","015","0917815","03","1",NA,2,47,"00008","0010",1
35,"00108","07","001","09","015","0917815","02","1",NA,2,47,"00008","0010",1
36,"00108","08","001","09","015","0917815","04","1",NA,2,47,"00008","0010",1
37,"00108","09","001","09","015","0917815","03","1",NA,2,47,"00008","0010",1
38,"00108","10","001","09","015","0917815","03","1",NA,2,47,"00008","0010",1
39,"00109","02","001","09","015","0917819","02","1",NA,2,98,"00009","0010",1
40,"00109","04","001","09","015","0917819","02","1",NA,2,98,"00009","0010",1
41,"00109","05","001","09","015","0917819","04","1",NA,2,98,"00009","0010",1
42,"00110","01","001","09","015","0917821","01","1",NA,2,53,"00010","0010",1
43,"00110","02","001","09","015","0917821","02","1",NA,2,53,"00010","0010",1
44,"00110","04","001","09","015","0917821","05","1",NA,2,53,"00010","0010",1
45,"00110","05","001","09","015","0917821","02","1",NA,2,53,"00010","0010",1
46,"00110","06","001","09","015","0917821","04","1",NA,2,53,"00010","0010",1
47,"00110","07","001","09","015","0917821","04","1",NA,2,53,"00010","0010",1
48,"00110","08","001","09","015","0917821","03","1",NA,2,53,"00010","0010",1
49,"00110","09","001","09","015","0917821","01","1",NA,2,53,"00010","0010",1
50,"00110","10","001","09","015","0917821","01","1",NA,2,53,"00010","0010",1
51,"00111","01","001","09","015","0917824","02","1",NA,2,115,"00011","0010",1
52,"00111","02","001","09","015","0917824","03","1",NA,2,115,"00011","0010",1
53,"00111","03","001","09","015","0917824","02","1",NA,2,115,"00011","0010",1
54,"00111","04","001","09","015","0917824","03","1",NA,2,115,"00011","0010",1
55,"00111","05","001","09","015","0917824","03","1",NA,2,115,"00011","0010",1
56,"00112","01","001","09","015","0917828","01","1",NA,3,139,"00012","0020",1
57,"00112","02","001","09","015","0917828","04","1",NA,3,139,"00012","0020",1
58,"00112","03","001","09","015","0917828","04","1",NA,3,139,"00012","0020",1
59,"00112","04","001","09","015","0917828","03","1",NA,3,139,"00012","0020",1
60,"00112","05","001","09","015","0917828","04","1",NA,3,139,"00012","0020",1
61,"00113","03","001","09","015","0917830","01","1",NA,2,92,"00013","0010",1
62,"00113","04","001","09","015","0917830","01","1",NA,2,92,"00013","0010",1
63,"00113","05","001","09","015","0917830","04","1",NA,2,92,"00013","0010",1
64,"00114","03","001","09","015","0917830","05","1",NA,2,59,"00014","0010",1
65,"00114","05","001","09","015","0917830","04","1",NA,2,59,"00014","0010",1
66,"00114","08","001","09","015","0917830","04","1",NA,2,59,"00014","0010",1
67,"00114","09","001","09","015","0917830","04","1",NA,2,59,"00014","0010",1
68,"00114","10","001","09","015","0917830","03","1",NA,2,59,"00014","0010",1
69,"00115","01","001","09","015","0917833","04","1",NA,2,79,"00015","0010",1
70,"00115","02","001","09","015","0917833","02","1",NA,2,79,"00015","0010",1
71,"00115","03","001","09","015","0917833","03","1",NA,2,79,"00015","0010",1
72,"00115","05","001","09","015","0917833","02","1",NA,2,79,"00015","0010",1
73,"00115","06","001","09","015","0917833","02","1",NA,2,79,"00015","0010",1
74,"00115","07","001","09","015","0917833","01","1",NA,2,79,"00015","0010",1
75,"00116","01","001","09","015","0917834","02","1",NA,2,88,"00016","0010",1
76,"00116","04","001","09","015","0917834","05","1",NA,2,88,"00016","0010",1
77,"00117","01","001","09","015","0917836","01","1",NA,2,114,"00017","0010",1
78,"00117","02","001","09","015","0917836","02","1",NA,2,114,"00017","0010",1
79,"00117","03","001","09","015","0917836","04","1",NA,2,114,"00017","0010",1
80,"00117","04","001","09","015","0917836","04","1",NA,2,114,"00017","0010",1
81,"00117","05","001","09","015","0917836","06","1",NA,2,114,"00017","0010",1
82,"00118","01","001","09","015","0917904","02","1",NA,3,30,"00018","0020",1
83,"00118","03","001","09","015","0917904","02","1",NA,3,30,"00018","0020",1
84,"00118","04","001","09","015","0917904","02","1",NA,3,30,"00018","0020",1
85,"00118","05","001","09","015","0917904","05","1",NA,3,30,"00018","0020",1
86,"00119","02","001","09","015","0917909","01","1",NA,2,89,"00019","0010",1
87,"00119","03","001","09","015","0917909","02","1",NA,2,89,"00019","0010",1
88,"00119","04","001","09","015","0917909","03","1",NA,2,89,"00019","0010",1
