"P5_14_merged","n","type","share","category","is_transit"
"Walking",42203,"Single Mode",38.1993283913071,"City to City (ENT 09-09)",FALSE
"Other",38026,"Single Mode",34.4185878114789,"City to City (ENT 09-09)",FALSE
"Bus_Metro",13726,"Multi Mode",12.423855685593,"City to City (ENT 09-09)",TRUE
"Bus",7874,"Single Mode",7.12701731519447,"City to City (ENT 09-09)",TRUE
"BRT_Bus",2067,"Multi Mode",1.87090993021424,"City to City (ENT 09-09)",TRUE
"Bus",1731,"Multi Mode",1.56678523909088,"City to City (ENT 09-09)",TRUE
"Bus_Other",943,"Multi Mode",0.85354042776586,"City to City (ENT 09-09)",FALSE
"Metro",809,"Single Mode",0.732252604520234,"City to City (ENT 09-09)",TRUE
"Metro_Other",749,"Multi Mode",0.677944623962491,"City to City (ENT 09-09)",FALSE
"BRT_Metro",575,"Multi Mode",0.520451480345037,"City to City (ENT 09-09)",TRUE
"Bus_Metro_Other",456,"Multi Mode",0.412740652238846,"City to City (ENT 09-09)",FALSE
"BRT_Bus_Metro",424,"Multi Mode",0.383776395941384,"City to City (ENT 09-09)",TRUE
"BRT",422,"Single Mode",0.381966129922792,"City to City (ENT 09-09)",TRUE
"BRT_Other",134,"Multi Mode",0.121287823245626,"City to City (ENT 09-09)",FALSE
"Metro",130,"Multi Mode",0.117667291208443,"City to City (ENT 09-09)",TRUE
"Other",69,"Multi Mode",0.0624541776414044,"City to City (ENT 09-09)",FALSE
"BRT_Bus_Other",68,"Multi Mode",0.0615490446321087,"City to City (ENT 09-09)",FALSE
"BRT_Metro_Other",56,"Multi Mode",0.0506874485205601,"City to City (ENT 09-09)",FALSE
"BRT_Bus_Metro_Other",19,"Multi Mode",0.0171975271766186,"City to City (ENT 09-09)",FALSE
"Walking",64606,"Single Mode",48.9287418301891,"Suburb to Suburb (ENT 13/15 - 13/15)",FALSE
"Other",36439,"Single Mode",27.5967313183026,"Suburb to Suburb (ENT 13/15 - 13/15)",FALSE
"Bus",17231,"Single Mode",13.0497345521467,"Suburb to Suburb (ENT 13/15 - 13/15)",TRUE
"Bus_Metro",7983,"Multi Mode",6.04584939526359,"Suburb to Suburb (ENT 13/15 - 13/15)",TRUE
"Bus_Other",1331,"Multi Mode",1.00802023613878,"Suburb to Suburb (ENT 13/15 - 13/15)",FALSE
"Bus",1243,"Multi Mode",0.941374270113071,"Suburb to Suburb (ENT 13/15 - 13/15)",TRUE
"BRT_Bus",1113,"Multi Mode",0.842920002120554,"Suburb to Suburb (ENT 13/15 - 13/15)",TRUE
"BRT_Bus_Metro",574,"Multi Mode",0.434713460213116,"Suburb to Suburb (ENT 13/15 - 13/15)",TRUE
"Bus_Metro_Other",364,"Multi Mode",0.275671950379049,"Suburb to Suburb (ENT 13/15 - 13/15)",FALSE
"BRT_Metro",341,"Multi Mode",0.258253118349604,"Suburb to Suburb (ENT 13/15 - 13/15)",TRUE
"Metro_Other",296,"Multi Mode",0.224172794813732,"Suburb to Suburb (ENT 13/15 - 13/15)",FALSE
"BRT_Other",124,"Multi Mode",0.0939102248544013,"Suburb to Suburb (ENT 13/15 - 13/15)",FALSE
"BRT_Metro_Other",109,"Multi Mode",0.0825501170091108,"Suburb to Suburb (ENT 13/15 - 13/15)",FALSE
"BRT",69,"Single Mode",0.0522564960883362,"Suburb to Suburb (ENT 13/15 - 13/15)",TRUE
"BRT_Bus_Other",60,"Multi Mode",0.0454404313811619,"Suburb to Suburb (ENT 13/15 - 13/15)",FALSE
"Metro",52,"Single Mode",0.039381707197007,"Suburb to Suburb (ENT 13/15 - 13/15)",TRUE
"Other",36,"Multi Mode",0.0272642588286971,"Suburb to Suburb (ENT 13/15 - 13/15)",FALSE
"BRT_Bus_Metro_Other",35,"Multi Mode",0.0265069183056778,"Suburb to Suburb (ENT 13/15 - 13/15)",FALSE
"Metro",35,"Multi Mode",0.0265069183056778,"Suburb to Suburb (ENT 13/15 - 13/15)",TRUE
