"P5_14_merged","n","type","share","category","is_transit"
"Walking",4439331,"Single Mode",37.6609772205828,"City to City (ENT 09-09)",FALSE
"Other",4145107,"Single Mode",35.1649337037221,"City to City (ENT 09-09)",FALSE
"Bus_Metro",1457014,"Multi Mode",12.3605496107567,"City to City (ENT 09-09)",TRUE
"Bus",836803,"Single Mode",7.09900179128687,"City to City (ENT 09-09)",TRUE
"BRT_Bus",218253,"Multi Mode",1.85154503264655,"City to City (ENT 09-09)",TRUE
"Bus",179759,"Multi Mode",1.52498194079125,"City to City (ENT 09-09)",TRUE
"Bus_Other",99390,"Multi Mode",0.843173110082065,"City to City (ENT 09-09)",FALSE
"Metro",89100,"Single Mode",0.755878097477734,"City to City (ENT 09-09)",TRUE
"Metro_Other",77247,"Multi Mode",0.655323405116302,"City to City (ENT 09-09)",FALSE
"BRT_Metro",59027,"Multi Mode",0.50075439348842,"City to City (ENT 09-09)",TRUE
"Bus_Metro_Other",48894,"Multi Mode",0.414791287296031,"City to City (ENT 09-09)",FALSE
"BRT_Bus_Metro",45843,"Multi Mode",0.388908188806642,"City to City (ENT 09-09)",TRUE
"BRT",42879,"Single Mode",0.363763153106035,"City to City (ENT 09-09)",TRUE
"BRT_Other",13881,"Multi Mode",0.117759190472373,"City to City (ENT 09-09)",FALSE
"Metro",12872,"Multi Mode",0.109199358818557,"City to City (ENT 09-09)",TRUE
"BRT_Bus_Other",7575,"Multi Mode",0.0642623635061037,"City to City (ENT 09-09)",FALSE
"Other",7084,"Multi Mode",0.0600969746636618,"City to City (ENT 09-09)",FALSE
"BRT_Metro_Other",5468,"Multi Mode",0.0463876704490264,"City to City (ENT 09-09)",FALSE
"BRT_Bus_Metro_Other",2088,"Multi Mode",0.0177135069307913,"City to City (ENT 09-09)",FALSE
"Walking",6600962,"Single Mode",48.1632097939769,"Suburb to Suburb (ENT 13/15 - 13/15)",FALSE
"Other",3847214,"Single Mode",28.0707834713069,"Suburb to Suburb (ENT 13/15 - 13/15)",FALSE
"Bus",1796134,"Single Mode",13.1052986913263,"Suburb to Suburb (ENT 13/15 - 13/15)",TRUE
"Bus_Metro",837888,"Multi Mode",6.11355973990695,"Suburb to Suburb (ENT 13/15 - 13/15)",TRUE
"Bus_Other",136915,"Multi Mode",0.998985582547262,"Suburb to Suburb (ENT 13/15 - 13/15)",FALSE
"Bus",136728,"Multi Mode",0.997621157145106,"Suburb to Suburb (ENT 13/15 - 13/15)",TRUE
"BRT_Bus",117918,"Multi Mode",0.860376013751657,"Suburb to Suburb (ENT 13/15 - 13/15)",TRUE
"BRT_Bus_Metro",63896,"Multi Mode",0.466210296771281,"Suburb to Suburb (ENT 13/15 - 13/15)",TRUE
"Bus_Metro_Other",38983,"Multi Mode",0.284435269798342,"Suburb to Suburb (ENT 13/15 - 13/15)",FALSE
"BRT_Metro",38145,"Multi Mode",0.278320892862472,"Suburb to Suburb (ENT 13/15 - 13/15)",TRUE
"Metro_Other",31669,"Multi Mode",0.231069454871192,"Suburb to Suburb (ENT 13/15 - 13/15)",FALSE
"BRT_Other",15256,"Multi Mode",0.111313764359939,"Suburb to Suburb (ENT 13/15 - 13/15)",FALSE
"BRT_Metro_Other",12492,"Multi Mode",0.0911465354211036,"Suburb to Suburb (ENT 13/15 - 13/15)",FALSE
"BRT_Bus_Other",6957,"Multi Mode",0.0507610027957587,"Suburb to Suburb (ENT 13/15 - 13/15)",FALSE
"BRT",6322,"Single Mode",0.0461277935424445,"Suburb to Suburb (ENT 13/15 - 13/15)",TRUE
"Metro",5554,"Single Mode",0.0405241640833181,"Suburb to Suburb (ENT 13/15 - 13/15)",TRUE
"BRT_Bus_Metro_Other",4529,"Multi Mode",0.0330453617452913,"Suburb to Suburb (ENT 13/15 - 13/15)",FALSE
"Other",4028,"Multi Mode",0.0293898690903142,"Suburb to Suburb (ENT 13/15 - 13/15)",FALSE
"Metro",3813,"Multi Mode",0.0278211446974598,"Suburb to Suburb (ENT 13/15 - 13/15)",TRUE
