"P5_14_merged","weighted_trips","unweighted_trips","weight_ratio","weighted_percent","unweighted_percent"
"Bus_Metro",4987834,47348,105.34413280392,64.08,64.44
"Bus",625678,5823,107.449424695174,8.04,7.92
"BRT_Bus",592314,5601,105.751472951259,7.61,7.62
"Bus_Other",472569,4530,104.319867549669,6.07,6.16
"BRT_Bus_Metro",247637,2249,110.109826589595,3.18,3.06
"Metro_Other",240590,2266,106.17387466902,3.09,3.08
"BRT_Metro",213171,1955,109.038874680307,2.74,2.66
"Bus_Metro_Other",206744,1938,106.679050567595,2.66,2.64
"BRT_Other",52581,462,113.811688311688,0.68,0.63
"BRT_Metro_Other",44399,396,112.118686868687,0.57,0.54
"Metro",28870,282,102.375886524823,0.37,0.38
"BRT_Bus_Other",27667,242,114.326446280992,0.36,0.33
"Other",26250,242,108.471074380165,0.34,0.33
"BRT_Bus_Metro_Other",17287,147,117.598639455782,0.22,0.2
