x,2007,single_label,count,2007,multi_label,count2,2017,single_la_17,count_1,2017,multi_la_17,count_2
Bike,2.16%,Bicicleta (B),2676,NA,NA,NA,4.19%,Bicicleta (07),4887,NA,NA,NA
Car,28.78%,automovil (9),35658,NA,NA,NA,24.33%,automovil (01),28350,NA,NA,NA
Taxi,5.88%,Taxi (8),7287,NA,NA,NA,5.85%,Taxi (App) (03),6821,NA,NA,NA
Motorcycle,0.48%,Moto (A),599,NA,NA,NA,1.87%,Moto (09),2183,NA,NA,NA
Metro & Light rail,5.75%,"Metro, light rail (only)",7131,19.25%,Bus+metro,19979,1.04%,Metro(05),1157,15.78%,BRT+metro,640
Metro & Light rail,NA,NA,NA,NA,Metro,1704,NA,NA,NA,NA,Bus+Metro,15150
Metro & Light rail,NA,NA,NA,NA,bus+metro+other,906,NA,Tren Ligero(12),0,NA,Metro+ other mode of metro,64
Metro & Light rail,NA,NA,NA,NA,metro+other,826,NA,Tren suburbano (13),37,NA,Metro+other,603
Metro & Light rail,NA,NA,NA,NA,Metro +BRT +bus,265,NA,Mexicable  (15),18,NA,BRT +bus +metro,996
Metro & Light rail,NA,NA,NA,NA,BRT+metro,151,NA,NA,NA,NA,BRT + Metro+other,190
Metro & Light rail,NA,NA,NA,NA,BRT+Metro+other,13,NA,NA,NA,NA,Bus+metro+other,688
Metro & Light rail,NA,NA,NA,NA,Metro+BRT+ bus+other,7,NA,NA,NA,NA,BRT+bus+metro+other,60
BRT,0.21%,Metrobus (only),260,0.47%,BRT+bus,542,0.62%,"metrobus,Mexibus(11)",719,1.56%,BRT+Bus,1590
BRT,NA,NA,NA,NA,BRT+other,30,NA,NA,NA,NA,BRT+other,145
BRT,NA,NA,NA,NA,BRT+bus+other,16,NA,NA,NA,NA,BRT +bus +other,77
Non BRT bus,32.86%,Trolebus (4),40724,3.12%,bus,2713,41.52%,Trolebus (Trolley) (10),48377,2.88%,Bus+other Bus (two mode of bus connect),1748
Non BRT bus,NA,Autobus RTP Autobus (5),NA,NA,Bus+ Other,1153,NA,Autobus RTP M1 (06),NA,NA,Bus+ other,1610
Other,0.99%,Otro  (C ),1226,0.04%,Other mode combined (no public transit),50,0.30%,Otro (20),355,0.04%,Other mode combined (no public transit involved),51
sum,NA,NA,95561,NA,NA,28355,NA,NA,92904,NA,NA,23612
