"MUN","metro_only_count","bus_only_count","bus_metro_count"
"037",0,1018,144
"046",0,33,4
"057",5,5077,920
"038",0,8,0
"104",150,2777,919
"013",4,2528,248
"060",2,2804,235
"095",0,598,37
"121",50,2674,457
"112",0,12,4
"024",33,622,150
"109",83,2753,670
"053",0,315,51
"023",0,286,18
"091",0,366,41
"035",0,468,39
"120",0,706,78
"096",0,200,5
"010",0,87,1
"036",0,181,22
"044",0,115,25
"059",1,93,15
"108",1,616,100
"020",67,1244,428
"033",1244,5327,3795
"058",519,3382,2905
"081",19,1737,593
"125",0,36,22
"002",1,740,233
"011",1,337,51
"100",1,157,49
"092",6,165,13
"016",2,57,7
"061",0,17,6
"065",0,27,8
"075",0,24,3
"084",0,62,3
"099",2,1677,196
"030",0,36,1
"028",0,49,13
"069",0,8,2
"093",0,73,7
"031",332,2035,1489
"029",4,914,343
"070",82,800,499
"039",13,2491,1157
"122",3,1228,882
"025",8,1587,680
"103",2,301,43
"050",0,119,2
"017",0,31,3
"022",0,44,10
"083",0,26,4
"089",0,14,2
"009",0,138,17
"068",0,88,2
"015",0,91,9
"034",0,16,2
"094",0,117,0
